Blood Money: Why the Powerful Turn a Blind Eye While China Kills Americans
                                                                  Title                                         Author       Pub-Date   Price
Hardcover Nonfiction                                                                                                                         
20                                  This Summer Will Be Different                              by Carley Fortune   (05/07/2024)  $17.10
21                               Twisted Love (Twisted Series #1)                                   by Ana Huang   (09/27/2022)  $17.99
22              A Court of Wings and Ruin (A Court of Thorns a...                               by Sarah J. Maas   (06/02/2020)  $16.99
23                                                     The Inmate                             by Freida McFadden   (03/05/2024)  $16.19
24                                     It Starts with Us: A Novel                              by Colleen Hoover   (10/18/2022)  $17.99
25                                             The Women: A Novel                              by Kristin Hannah   (02/06/2024)  $23.09
26                          Dune: Book One in the Dune Chronicles                               by Frank Herbert   (05/29/2007)  $36.89
27                                                 First Lie Wins                               by Ashley Elston   (01/02/2024)  $20.25
28                                                     Iron Flame                              by Rebecca Yarros   (11/07/2023)  $31.49
29                                                    Fourth Wing                              by Rebecca Yarros   (05/02/2023)  $26.99
30                                                    The Teacher                             by Freida McFadden   (02/06/2024)  $31.49
31              A Court of Silver Flames (A Court of Thorns an...                               by Sarah J. Maas   (02/16/2021)  $32.54
32              The Heaven & Earth Grocery Store (2023 B&N Boo...                               by James McBride   (08/08/2023)  $22.50
33                                         The Three-Body Problem                                   by Cixin Liu   (11/11/2014)  $24.02
34                                    Listen for the Lie: A Novel                                 by Amy Tintera   (03/05/2024)  $24.29
35                                            The Hunter: A Novel                                 by Tana French   (03/05/2024)  $22.50
36                                    Remarkably Bright Creatures                             by Shelby Van Pelt   (05/03/2022)  $25.19
37                                           None of This Is True                                 by Lisa Jewell   (08/08/2023)  $22.09
38                                           I'm Glad My Mom Died                            by Jennette McCurdy   (08/09/2022)  $17.99
39                      Outlive: The Science and Art of Longevity                by Peter Attia MD, Bill Gifford   (03/28/2023)  $22.50
40                    Bad Therapy: Why the Kids Aren't Growing Up                              by Abigail Shrier   (02/27/2024)  $20.00
41                                   Burn Book: A Tech Love Story                                by Kara Swisher   (02/27/2024)  $23.99
42                         The House of Hidden Meanings: A Memoir                                      by RuPaul   (03/05/2024)  $21.99
43              The Body Keeps the Score: Brain, Mind, and Bod...                    by Bessel van der Kolk M.D.   (02/16/2021)  $23.00
44                                                    Greenlights                         by Matthew McConaughey   (10/20/2020)  $19.00
45              The Anxious Generation: How the Great Rewiring...                              by Jonathan Haidt   (03/26/2024)  $20.25
46                          Sapiens: A Brief History of Humankind                           by Yuval Noah Harari   (08/15/2017)  $31.99
47                                                      Elon Musk                             by Walter Isaacson   (09/12/2023)  $31.49
48                                                The Woman in Me                              by Britney Spears   (10/24/2023)  $22.49
49              Extreme Ownership: How U.S. Navy SEALs Lead an...                   by Jocko Willink, Leif Babin   (10/20/2015)  $18.39
50                                                    Greenlights                         by Matthew McConaughey   (10/20/2020)  $19.00
51                                                          Spare            by Prince Harry, The Duke of Sussex   (01/10/2023)  $29.88
